Platz;Jahr;Titel;Interpret;Geschlecht;Deutsch ;Genre ;;
45;2015;Walk ;Kwabs ;0;0;0;;
46;2015;Auf Anderen Wegen ;Andreas Bourani ;0;1;0;;
47;2015;Cant Feel My Face ;The Weeknd  ;0;0;0;;
48;2015;Locked Away;R City und Adam Levine ;0;0;0;;
49;2015;Worth It ;Fifth Harmony feat. Kid Ink ;2;0;0;;
50;2015;Atemlos Durch Die Nacht ;Helene Fischer ;1;1;0;;
51;2015;Ich Will Nur Dass Du Weisst;SDP feat. Adel Tawil ;0;1;2;;
52;2015;Sorry ;Justin Bieber ;0;0;0;;
53;2015;Wish You Were Here ;Philip George ;0;0;0;;
54;2015;The Hills ;The Weeknd  ;0;0;1;;
55;2015;Book Of Love ;Felix Jaehn feat. Polina ;2;0;1;;
56;2015;Lush Life ;Zara Larsson ;1;0;0;;
57;2015;G.D.F.R.;Flo Rida feat. Sage The Gemini und Lookas ;0;0;2;;
58;2015;Sun Goes Down ;Robin Schulz feat. Jasmine Thompson ;2;0;1;;
59;2015;Five More Hours ;Deorro und Chris Brown;0;0;1;;
60;2015;Bills ;LunchMoney Lewis ;0;0;0;;
61;2015;Im An Albatraoz;Aaron Chupa ;0;0;1;;
62;2015;Easy Love ;Sigala  ;0;0;1;;
63;2015;Cool Kids ;Echosmith ;2;0;0;;
64;2015;All Of Me ;John Legend ;0;0;0;;
65;2015;Break The Rules ;Charli XCX;1;0;0;;
66;2015;I Really Like You ;Carly Rea Jepsen ;1;0;0;;
67;2015;Dangerous ;David Guetta feat Sam Smith ;0;0;1;;
68;2015;Lips Are Movin;Meghan Trainor ;1;0;0;;
69;2015;Traffic Lights ;Lena ;1;0;0;;
70;2015;Catch and Release (Deepend Remix);Matt Simons ;0;0;0;;
71;2015;Wild and Free ;Lena ;1;0;0;;
72;2015;Up ;Olly Murs feat. Demi Lovato ;2;0;0;;
73;2015;Ayo ;Chris Brown und Tyga ;0;0;2;;
74;2015;Whre Are Ü Now ;Skrillex und Diplo feat. Justin Bieber ;0;0;1;;
75;2015;I Dont Like I It, I Love It;Flo Rida feat. Robin Thicke und Verdine White ;0;0;2;;
76;2015;Auf Uns ;Andreas Bourani ;0;1;0;;
77;2015;Marvin Gaye ;Charlie Puth feat. Meghan Trainor ;2;0;0;;
78;2015;Hula Hoop ;Omi;0;0;1;;
79;2015;Alles brennt ;Johannes Oerding ;0;1;0;;
80;2015;Blank Space ;Taylor Swift ;1;0;0;;
81;2015;The Nights ;Avicii;0;0;1;;
82;2015;The Avener ;Fade out Lines ;2;0;1;;
83;2015;What I Did For Love ;David Guetta feat . Emily Sande ;2;0;1;;
84;2015;Riva (Restart The Game) ;Klingande feat. Broken Back ;0;0;1;;
85;2015;You Know You Like It ;DJ Snake und AlunaGeorge ;2;0;1;;
86;2015;On My Mind ;Ellie Goulding ;1;0;0;;
87;2015;Holiday ;DJ Antoine feat. Akon ;0;0;1;;
88;2015;Ich und Du ;Gestört aber Geil feat. Sebastian Hämer ;0;1;1;;
89;2015;Earned It ;The Weeknd  ;0;0;0;;
90;2015;Bauch und Kopf ;Mark Forster ;0;1;0;;
91;2015;El mismo sol ;Alvaro Soler ;0;0;0;;
92;2015;Lucifer ;XOV;0;0;0;;
93;2015;Show Me Love ;Robin Schulz und J.U.D.G.E.;0;0;1;;
94;2015;Pray To God ;Calvin Harris feat. Haim ;2;0;1;;
95;2015;Heartbeat Song ;Kelly Clarkson ;1;0;0;;
96;2015;Time Of Our Lives ;Pitbull und Ne-Yo;0;0;0;;
97;2015;Hurra Die Welt Geht Unter ;K.I.Z. feat. Henning May ;0;1;2;;
98;2015;Love Yourself ;Justin Bieber ;0;0;0;;
99;2015;Au revoir ;Mark Forster feat. Sido ;0;1;0;;
100;2015;Prayer in C (Robin Schulz Remix) ;Lilly Wood and The Prick und Robin Schulz ;2;0;1;;
1;2014;Atemlos Durch Die Nacht ;Helene Fischer ;1;1;0;;
2;2014;Happy ;Pharrell Williams ;0;0;0;;
3;2014;Waves (Robin Schulz Remix);Mr Probz;0;0;2;;
4;2014;Aus Uns ;Andreas Bourani ;0;1;0;;
5;2014;Au revoir ;Mark Forster feat. Sido ;0;1;0;;
6;2014;Prayer in C (Robin Schulz Remix) ;Lilly Wood and The Prick und Robin Schulz ;2;0;1;;
7;2014;Rather Be ;Clean Bandit feat. Jess Glynne ;2;0;1;;
